size,battery,procfreq,resolution,AMOLED,LCD,OLED,Others
0.8974358974358974,0.8095238095238095,0.9444444444444444,0.8958333333333334,0,0,1,0
0.6410256410256409,0.5238095238095238,0.638888888888889,0.21875,1,0,0,0
0.5128205128205131,0.5238095238095238,0.44444444444444436,0.21875,1,0,0,0
0.6410256410256409,0.5238095238095238,0.44444444444444436,0.21875,1,0,0,0
0.5128205128205131,0.5238095238095238,0.3333333333333334,0.21875,1,0,0,0
0.5128205128205131,0.5238095238095238,0.3333333333333334,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.6666666666666666,1.0,1,0,0,0
0.7692307692307697,0.5238095238095238,0.44444444444444436,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.3333333333333334,1.0,1,0,0,0
0.7692307692307697,0.5238095238095238,0.44444444444444436,0.21875,0,1,0,0
0.8846153846153848,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.5897435897435895,0.5238095238095238,0.0,0.026041666666666668,0,1,0,0
0.0,0.2819047619047619,0.7777777777777778,0.2916666666666667,0,0,1,0
0.5128205128205131,1.0,0.3333333333333334,0.21875,1,0,0,0
0.7692307692307697,0.5238095238095238,0.3333333333333334,0.21875,1,0,0,0
0.7820512820512822,0.5238095238095238,0.3333333333333334,0.0,0,1,0,0
0.730769230769231,0.5238095238095238,0.44444444444444436,0.5208333333333334,1,0,0,0
0.730769230769231,0.5714285714285714,0.44444444444444436,0.2916666666666667,1,0,0,0
0.730769230769231,0.5238095238095238,0.6666666666666666,0.5208333333333334,1,0,0,0
0.8205128205128209,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.5128205128205131,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.8205128205128209,0.5238095238095238,0.8055555555555555,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.5555555555555556,1.0,1,0,0,0
0.3846153846153854,0.5238095238095238,0.44444444444444436,0.21875,1,0,0,0
0.5128205128205131,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.9743589743589749,0.41904761904761906,0.9444444444444444,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,1.0,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.9722222222222223,0.21875,1,0,0,0
0.8974358974358974,0.5476190476190477,0.3888888888888888,0.21875,0,0,1,0
0.3846153846153854,0.19523809523809524,0.5,0.21875,0,0,1,0
1.0,0.6,0.22222222222222218,0.21875,0,1,0,0
1.0,0.6,0.22222222222222218,0.21875,0,1,0,0
0.5897435897435895,0.5714285714285714,0.22222222222222218,0.21875,0,1,0,0
0.8974358974358974,0.5523809523809524,0.8333333333333334,0.21875,0,0,1,0
0.25641025641025655,0.38095238095238093,0.8333333333333334,0.21875,0,0,1,0
0.5128205128205131,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.730769230769231,0.5238095238095238,0.44444444444444436,0.21875,0,0,1,0
0.7435897435897434,1.0,0.22222222222222218,0.21875,0,1,0,0
0.6410256410256409,1.0,0.44444444444444436,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.6666666666666666,0.21875,1,0,0,0
0.730769230769231,0.6,0.7555555555555555,0.20833333333333334,0,1,0,0
0.7692307692307697,0.5238095238095238,0.5,0.21875,1,0,0,0
0.7948717948717947,0.5238095238095238,0.505328798185941,0.21875,0,1,0,0
0.8333333333333335,0.5238095238095238,0.11111111111111109,0.21875,0,1,0,0
0.8205128205128209,0.5238095238095238,0.11111111111111109,0.125,0,1,0,0
0.8205128205128209,0.7619047619047619,0.6666666666666666,0.21875,1,0,0,0
0.7692307692307697,0.6190476190476191,0.5722222222222222,0.21875,1,0,0,0
0.8717948717948723,0.7619047619047619,0.6666666666666666,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.3333333333333334,0.21875,0,0,1,0
0.7692307692307697,0.047619047619047616,0.9944444444444446,0.21875,1,0,0,0
0.25641025641025655,0.23809523809523808,0.9944444444444446,0.21875,1,0,0,0
0.8717948717948723,0.7619047619047619,0.7777777777777778,0.21875,1,0,0,0
0.730769230769231,0.5761904761904761,0.3333333333333334,0.21875,1,0,0,0
0.8717948717948723,0.7619047619047619,0.5722222222222222,0.21875,1,0,0,0
0.8717948717948723,0.5714285714285714,0.7777777777777778,0.21875,1,0,0,0
0.8205128205128209,0.5238095238095238,0.3333333333333334,0.21875,0,1,0,0
0.8717948717948723,0.7142857142857143,0.9166666666666667,0.21875,1,0,0,0
0.8717948717948723,0.7619047619047619,0.3333333333333334,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.3333333333333334,0.21875,0,1,0,0
0.730769230769231,0.5238095238095238,0.5555555555555556,0.21875,0,0,1,0
0.7948717948717947,0.5238095238095238,0.3333333333333334,0.5208333333333334,0,1,0,0
0.8846153846153848,0.5380952380952381,0.22222222222222218,0.5208333333333334,0,1,0,0
0.8717948717948723,0.5380952380952381,0.22222222222222218,0.5208333333333334,0,1,0,0
0.730769230769231,0.5238095238095238,0.8833333333333333,0.21875,1,0,0,0
0.730769230769231,0.5238095238095238,0.7777777777777778,0.21875,1,0,0,0
0.7692307692307697,0.2857142857142857,0.44444444444444436,0.5208333333333334,1,0,0,0
0.8974358974358974,0.680952380952381,0.3333333333333334,0.5208333333333334,0,0,0,1
0.730769230769231,0.5238095238095238,0.6666666666666666,1.0,1,0,0,0
0.7692307692307697,0.5238095238095238,0.44444444444444436,0.21875,0,0,1,0
0.7692307692307697,0.2857142857142857,0.5722222222222222,0.21875,0,0,1,0
0.7692307692307697,0.2857142857142857,0.7777777777777778,0.21875,0,0,1,0
0.8205128205128209,0.5238095238095238,0.11111111111111109,0.026041666666666668,0,1,0,0
0.5128205128205131,0.5238095238095238,0.3333333333333334,0.21875,0,1,0,0
0.7692307692307697,0.5238095238095238,0.44444444444444436,0.2916666666666667,1,0,0,0
0.5897435897435895,0.5238095238095238,0.22222222222222218,0.21875,0,1,0,0
0.423076923076923,0.5238095238095238,0.8833333333333333,0.21875,0,0,1,0
0.8717948717948723,0.7619047619047619,0.8888888888888891,0.21875,1,0,0,0
0.9230769230769236,0.7142857142857143,0.9444444444444444,0.2916666666666667,1,0,0,0
0.730769230769231,0.5238095238095238,0.44444444444444436,0.5208333333333334,1,0,0,0
0.3333333333333341,0.3380952380952381,0.9444444444444444,0.21875,0,0,1,0
0.730769230769231,0.5238095238095238,0.6666666666666666,0.5208333333333334,1,0,0,0
0.5897435897435895,1.0,0.22222222222222218,0.21875,0,1,0,0
0.7948717948717947,0.5238095238095238,0.6666666666666666,0.5208333333333334,0,1,0,0
0.5897435897435895,0.5238095238095238,0.0,0.041666666666666664,0,1,0,0
0.6410256410256409,0.07142857142857142,0.3333333333333334,0.21875,0,1,0,0
0.7692307692307697,0.2857142857142857,0.44444444444444436,0.5208333333333334,1,0,0,0
0.8717948717948723,0.6666666666666666,0.3333333333333334,0.5208333333333334,1,0,0,0
